manufacturer,model,year,class,displ,cyl,transmission_type,gears,drive,fuel,cty,hwy,avg_mpg
audi,a4,1999,compact,1.8,4,auto,5,Front-wheel,Premium,18,29,23.5
audi,a4,1999,compact,1.8,4,manual,5,Front-wheel,Premium,21,29,25.0
audi,a4,2008,compact,2.0,4,manual,6,Front-wheel,Premium,20,31,25.5
audi,a4,2008,compact,2.0,4,auto,,Front-wheel,Premium,21,30,25.5
audi,a4,1999,compact,2.8,6,auto,5,Front-wheel,Premium,16,26,21.0
audi,a4,1999,compact,2.8,6,manual,5,Front-wheel,Premium,18,26,22.0
audi,a4,2008,compact,3.1,6,auto,,Front-wheel,Premium,18,27,22.5
audi,a4 quattro,1999,compact,1.8,4,manual,5,Four-wheel,Premium,18,26,22.0
audi,a4 quattro,1999,compact,1.8,4,auto,5,Four-wheel,Premium,16,25,20.5
audi,a4 quattro,2008,compact,2.0,4,manual,6,Four-wheel,Premium,20,28,24.0
audi,a4 quattro,2008,compact,2.0,4,auto,6,Four-wheel,Premium,19,27,23.0
audi,a4 quattro,1999,compact,2.8,6,auto,5,Four-wheel,Premium,15,25,20.0
audi,a4 quattro,1999,compact,2.8,6,manual,5,Four-wheel,Premium,17,25,21.0
audi,a4 quattro,2008,compact,3.1,6,auto,6,Four-wheel,Premium,17,25,21.0
audi,a4 quattro,2008,compact,3.1,6,manual,6,Four-wheel,Premium,15,25,20.0
audi,a6 quattro,1999,midsize,2.8,6,auto,5,Four-wheel,Premium,15,24,19.5
audi,a6 quattro,2008,midsize,3.1,6,auto,6,Four-wheel,Premium,17,25,21.0
audi,a6 quattro,2008,midsize,4.2,8,auto,6,Four-wheel,Premium,16,23,19.5
chevrolet,c1500 suburban 2wd,2008,suv,5.3,8,auto,4,Rear-wheel,Regular,14,20,17.0
chevrolet,c1500 suburban 2wd,2008,suv,5.3,8,auto,4,Rear-wheel,Ethanol,11,15,13.0
chevrolet,c1500 suburban 2wd,2008,suv,5.3,8,auto,4,Rear-wheel,Regular,14,20,17.0
chevrolet,c1500 suburban 2wd,1999,suv,5.7,8,auto,4,Rear-wheel,Regular,13,17,15.0
chevrolet,c1500 suburban 2wd,2008,suv,6.0,8,auto,4,Rear-wheel,Regular,12,17,14.5
chevrolet,corvette,1999,2seater,5.7,8,manual,6,Rear-wheel,Premium,16,26,21.0
chevrolet,corvette,1999,2seater,5.7,8,auto,4,Rear-wheel,Premium,15,23,19.0
chevrolet,corvette,2008,2seater,6.2,8,manual,6,Rear-wheel,Premium,16,26,21.0
chevrolet,corvette,2008,2seater,6.2,8,auto,6,Rear-wheel,Premium,15,25,20.0
chevrolet,corvette,2008,2seater,7.0,8,manual,6,Rear-wheel,Premium,15,24,19.5
chevrolet,k1500 tahoe 4wd,2008,suv,5.3,8,auto,4,Four-wheel,Regular,14,19,16.5
chevrolet,k1500 tahoe 4wd,2008,suv,5.3,8,auto,4,Four-wheel,Ethanol,11,14,12.5
chevrolet,k1500 tahoe 4wd,1999,suv,5.7,8,auto,4,Four-wheel,Regular,11,15,13.0
chevrolet,k1500 tahoe 4wd,1999,suv,6.5,8,auto,4,Four-wheel,Diesel,14,17,15.5
chevrolet,malibu,1999,midsize,2.4,4,auto,4,Front-wheel,Regular,19,27,23.0
chevrolet,malibu,2008,midsize,2.4,4,auto,4,Front-wheel,Regular,22,30,26.0
chevrolet,malibu,1999,midsize,3.1,6,auto,4,Front-wheel,Regular,18,26,22.0
chevrolet,malibu,2008,midsize,3.5,6,auto,4,Front-wheel,Regular,18,29,23.5
chevrolet,malibu,2008,midsize,3.6,6,auto,6,Front-wheel,Regular,17,26,21.5
dodge,caravan 2wd,1999,minivan,2.4,4,auto,3,Front-wheel,Regular,18,24,21.0
dodge,caravan 2wd,1999,minivan,3.0,6,auto,4,Front-wheel,Regular,17,24,20.5
dodge,caravan 2wd,1999,minivan,3.3,6,auto,4,Front-wheel,Regular,16,22,19.0
dodge,caravan 2wd,1999,minivan,3.3,6,auto,4,Front-wheel,Regular,16,22,19.0
dodge,caravan 2wd,2008,minivan,3.3,6,auto,4,Front-wheel,Regular,17,24,20.5
dodge,caravan 2wd,2008,minivan,3.3,6,auto,4,Front-wheel,Regular,17,24,20.5
dodge,caravan 2wd,2008,minivan,3.3,6,auto,4,Front-wheel,Ethanol,11,17,14.0
dodge,caravan 2wd,1999,minivan,3.8,6,auto,4,Front-wheel,Regular,15,22,18.5
dodge,caravan 2wd,1999,minivan,3.8,6,auto,4,Front-wheel,Regular,15,21,18.0
dodge,caravan 2wd,2008,minivan,3.8,6,auto,6,Front-wheel,Regular,16,23,19.5
dodge,caravan 2wd,2008,minivan,4.0,6,auto,6,Front-wheel,Regular,16,23,19.5
dodge,dakota pickup 4wd,2008,pickup,3.7,6,manual,6,Four-wheel,Regular,15,19,17.0
dodge,dakota pickup 4wd,2008,pickup,3.7,6,auto,4,Four-wheel,Regular,14,18,16.0
dodge,dakota pickup 4wd,1999,pickup,3.9,6,auto,4,Four-wheel,Regular,13,17,15.0
dodge,dakota pickup 4wd,1999,pickup,3.9,6,manual,5,Four-wheel,Regular,14,17,15.5
dodge,dakota pickup 4wd,2008,pickup,4.7,8,auto,5,Four-wheel,Regular,14,19,16.5
dodge,dakota pickup 4wd,2008,pickup,4.7,8,auto,5,Four-wheel,Regular,14,19,16.5
dodge,dakota pickup 4wd,2008,pickup,4.7,8,auto,5,Four-wheel,Ethanol,9,12,10.5
